strategy,model_name,target,fold,n_test,rmse
LOSO,RF,T_C,0,4,161.7666263672764
LOSO,RF,T_C,1,1,3.0
LOSO,RF,T_C,2,4,158.30529818553035
LOSO,RF,T_C,3,4,55.9156731158626
LOSO,RF,T_C,4,34,15.099479495855205
LOSO,RF,T_C,5,3,34.88074922742725
LOSO,RF,T_C,6,17,59.67968083497767
LOSO,RF,T_C,7,10,76.56772601211735
LOSO,RF,T_C,8,23,65.31379107315564
LOSO,RF,T_C,9,4,62.77389751052938
LOSO,RF,T_C,10,3,165.30577727351212
LOSO,RF,T_C,11,4,59.77620299453994
LOSO,RF,T_C,12,13,79.34394456076366
LOSO,RF,T_C,13,9,14.240006242195886
LOSO,RF,T_C,14,6,21.88987589427283
LOSO,RF,T_C,15,1,203.0
LOSO,RF,T_C,16,1,25.0
LOSO,RF,T_C,17,7,80.32167471219353
LOSO,RF,T_C,18,4,21.186980082116474
LOSO,RF,T_C,19,1,77.0
LOSO,RF,T_C,20,3,25.65986730816292
LOSO,RF,T_C,21,23,54.26335364602011
LOSO,RF,T_C,22,12,20.577090821266903
LOSO,RF,T_C,23,9,77.45608074544208
LOSO,RF,T_C,24,8,36.09752415332664
LOSO,RF,T_C,25,9,31.57882553582736
LOSO,RF,T_C,26,3,57.445626465380286
LOSO,RF,T_C,27,2,37.458310159429246
LOSO,RF,T_C,28,3,14.433756729740644
LOSO,RF,T_C,29,3,65.37328710311779
LOSO,RF,T_C,30,1,40.0
LOSO,RF,T_C,31,21,83.6023752225805
LOSO,RF,T_C,32,7,83.15218406202999
LOSO,RF,T_C,33,1,285.0
LOSO,RF,T_C,34,2,67.91538853603062
LOSO,RF,T_C,35,7,54.43646690015278
LOSO,RF,T_C,36,2,7.0710678118654755
LOSO,RF,T_C,37,5,65.54540411043325
LOSO,RF,T_C,38,3,86.65830973260789
LOSO,RF,T_C,39,16,49.486424906230596
LOSO,RF,T_C,40,1,175.0
LOSO,RF,T_C,41,2,105.60303025955268
LOSO,RF,T_C,42,1,43.125
LOSO,RF,T_C,43,6,44.827446949385816
LOSO,RF,T_C,44,17,35.8189968249636
LOSO,RF,T_C,45,6,23.601730162567883
LOSO,RF,T_C,46,10,25.61749890211767
LOSO,RF,T_C,47,1,20.0
LOSO,RF,T_C,48,1,20.0
LOSO,RF,T_C,49,5,74.93196914535211
LOSO,RF,T_C,50,5,65.23266053136267
LOSO,RF,T_C,51,10,58.58242057136253
LOSO,RF,T_C,52,1,30.0
LOSO,RF,T_C,53,7,49.12847588575431
LOSO,RF,T_C,54,2,23.717082451262844
LOSO,RF,T_C,55,1,95.0
LOSO,RF,T_C,56,3,96.30680142129111
LOSO,RF,T_C,57,3,117.26039399558574
LOSO,RF,T_C,58,6,22.9128784747792
LOSO,RF,T_C,59,6,76.49210198881102
LOSO,RF,T_C,60,19,31.058905918806097
LOSO,RF,T_C,61,2,14.142135623730951
LOSO,RF,T_C,62,17,104.49458190288539
LOSO,RF,T_C,63,3,205.38601867378088
LOSO,RF,T_C,64,16,67.1914243039988
LOSO,RF,T_C,65,1,19.230769230769283
LOSO,RF,T_C,66,3,87.43455171345786
LOSO,RF,T_C,67,11,81.45690438954375
LOSO,RF,T_C,68,14,56.28705128941418
LOSO,RF,T_C,69,1,50.0
LOSO,RF,T_C,70,10,26.38939180807318
LOSO,RF,T_C,71,17,41.168809978340136
LOSO,RF,T_C,72,5,133.94569795256584
LOSO,RF,T_C,73,10,87.17969947183805
LOSO,RF,T_C,74,1,248.44444444444434
LOSO,RF,T_C,75,1,60.0
LOSO,RF,T_C,76,12,24.79583298325211
LOSO,RF,T_C,77,6,46.14289399969042
LOSO,RF,T_C,78,1,47.5
LOSO,RF,T_C,79,1,30.0
LOSO,RF,T_C,80,3,58.770110821113235
LOSO,RF,T_C,81,6,59.371710435189584
LOSO,RF,T_C,82,2,73.85881802466108
LOSO,RF,T_C,83,10,54.55483709076584
LOSO,RF,T_C,84,1,37.0
LOSO,RF,T_C,85,5,63.63961030678928
LOSO,RF,T_C,86,2,71.15124735378853
LOSO,RF,T_C,87,2,255.60053367021752
LOSO,RF,T_C,88,6,121.64240625702864
LOSO,RF,T_C,89,8,35.961785272703025
LOSO,RF,T_C,90,8,239.9526646028337
LOSO,RF,T_C,91,5,133.15125067214186
LOSO,RF,T_C,92,4,14.79019945774904
LOSO,RF,P_kbar,0,4,27.09017983758538
LOSO,RF,P_kbar,1,1,0.8176013292213686
LOSO,RF,P_kbar,2,4,1.2379471758977605
LOSO,RF,P_kbar,3,4,3.6886981811141615
LOSO,RF,P_kbar,4,34,9.387191961337878
LOSO,RF,P_kbar,5,3,0.46437938715509164
LOSO,RF,P_kbar,6,17,1.0484730598358516
LOSO,RF,P_kbar,7,10,4.949574147257916
LOSO,RF,P_kbar,8,23,10.6264492443791
LOSO,RF,P_kbar,9,4,3.895089417102289
LOSO,RF,P_kbar,10,3,16.048227611700863
LOSO,RF,P_kbar,11,4,9.40018333548461
LOSO,RF,P_kbar,12,13,2.780570643834873
LOSO,RF,P_kbar,13,9,5.077091547133212
LOSO,RF,P_kbar,14,6,3.937957747979947
LOSO,RF,P_kbar,15,1,3.9942727320145766
LOSO,RF,P_kbar,16,1,2.000000476837
LOSO,RF,P_kbar,17,7,2.498819467854957
LOSO,RF,P_kbar,18,4,2.227760636442356
LOSO,RF,P_kbar,19,1,11.999999539057601
LOSO,RF,P_kbar,20,3,5.896665570584305
LOSO,RF,P_kbar,21,23,4.652632103463944
LOSO,RF,P_kbar,22,12,1.8085445481189573
LOSO,RF,P_kbar,23,9,1.3588193701150137
LOSO,RF,P_kbar,24,8,2.372440232337064
LOSO,RF,P_kbar,25,9,2.175232389648827
LOSO,RF,P_kbar,26,3,5.8763113059967935
LOSO,RF,P_kbar,27,2,0.0
LOSO,RF,P_kbar,28,3,6.480908092085951
LOSO,RF,P_kbar,29,3,2.1538940266379902
LOSO,RF,P_kbar,30,1,0.0
LOSO,RF,P_kbar,31,21,2.726797150962824
LOSO,RF,P_kbar,32,7,0.5135712442905693
LOSO,RF,P_kbar,33,1,2.599999532103695
LOSO,RF,P_kbar,34,2,2.14241769155188
LOSO,RF,P_kbar,35,7,2.4191751568983757
LOSO,RF,P_kbar,36,2,1.584652350852155
LOSO,RF,P_kbar,37,5,4.966694728667545
LOSO,RF,P_kbar,38,3,3.970387349387263
LOSO,RF,P_kbar,39,16,3.2722541926998145
LOSO,RF,P_kbar,40,1,12.999999523163002
LOSO,RF,P_kbar,41,2,4.182049957589061
LOSO,RF,P_kbar,42,1,7.750083313465119
LOSO,RF,P_kbar,43,6,0.9604444575672336
LOSO,RF,P_kbar,44,17,1.6973560713453157
LOSO,RF,P_kbar,45,6,2.261124796836348
LOSO,RF,P_kbar,46,10,1.243494190291411
LOSO,RF,P_kbar,47,1,10.990000238418501
LOSO,RF,P_kbar,48,1,3.0
LOSO,RF,P_kbar,49,5,9.614559753177842
LOSO,RF,P_kbar,50,5,1.0084759480729222
LOSO,RF,P_kbar,51,10,7.65892496003407
LOSO,RF,P_kbar,52,1,9.748999940420612
LOSO,RF,P_kbar,53,7,2.190410062433809
LOSO,RF,P_kbar,54,2,2.2142219365803713
LOSO,RF,P_kbar,55,1,3.000000238419002
LOSO,RF,P_kbar,56,3,5.4208540199387185
LOSO,RF,P_kbar,57,3,6.551335929448206
LOSO,RF,P_kbar,58,6,4.004137664766282
LOSO,RF,P_kbar,59,6,3.807352969471475
LOSO,RF,P_kbar,60,19,3.9565210254509653
LOSO,RF,P_kbar,61,2,1.5531674204802526
LOSO,RF,P_kbar,62,17,5.954397550595056
LOSO,RF,P_kbar,63,3,1.4667957635605928
LOSO,RF,P_kbar,64,16,3.1929290250102595
LOSO,RF,P_kbar,65,1,5.630615624569176
LOSO,RF,P_kbar,66,3,5.510335413353427
LOSO,RF,P_kbar,67,11,1.9840636293252742
LOSO,RF,P_kbar,68,14,2.3572141503308046
LOSO,RF,P_kbar,69,1,20.829525809054225
LOSO,RF,P_kbar,70,10,0.6704895048263142
LOSO,RF,P_kbar,71,17,5.247721042457782
LOSO,RF,P_kbar,72,5,8.600029217420875
LOSO,RF,P_kbar,73,10,4.228039336798115
LOSO,RF,P_kbar,74,1,3.359777875847289
LOSO,RF,P_kbar,75,1,2.5
LOSO,RF,P_kbar,76,12,2.0754517659334577
LOSO,RF,P_kbar,77,6,1.4382674147993415
LOSO,RF,P_kbar,78,1,8.327874986765265
LOSO,RF,P_kbar,79,1,2.000000290309586
LOSO,RF,P_kbar,80,3,3.220305968276365
LOSO,RF,P_kbar,81,6,5.597894325923327
LOSO,RF,P_kbar,82,2,6.519202745707603
LOSO,RF,P_kbar,83,10,1.9253000731076506
LOSO,RF,P_kbar,84,1,0.9665000104966195
LOSO,RF,P_kbar,85,5,1.7888547449551782
LOSO,RF,P_kbar,86,2,2.521271109360683
LOSO,RF,P_kbar,87,2,5.312412954176664
LOSO,RF,P_kbar,88,6,20.4029384143922
LOSO,RF,P_kbar,89,8,4.793232516174313
LOSO,RF,P_kbar,90,8,2.5
LOSO,RF,P_kbar,91,5,11.430878668476169
LOSO,RF,P_kbar,92,4,0.7204479652320159
LOSO,ERT,T_C,0,4,207.7805426555865
LOSO,ERT,T_C,1,1,10.0
LOSO,ERT,T_C,2,4,163.7958495519196
LOSO,ERT,T_C,3,4,49.082838141248516
LOSO,ERT,T_C,4,34,16.29742563391357
LOSO,ERT,T_C,5,3,36.013886210738214
LOSO,ERT,T_C,6,17,65.13953599199702
LOSO,ERT,T_C,7,10,78.45051518845072
LOSO,ERT,T_C,8,23,88.5006140975992
LOSO,ERT,T_C,9,4,64.31035155274938
LOSO,ERT,T_C,10,3,178.4647490869462
LOSO,ERT,T_C,11,4,67.4166151627327
LOSO,ERT,T_C,12,13,77.34339015067803
LOSO,ERT,T_C,13,9,21.032382440206604
LOSO,ERT,T_C,14,6,18.484227510682363
LOSO,ERT,T_C,15,1,325.0
LOSO,ERT,T_C,16,1,64.33333333333326
LOSO,ERT,T_C,17,7,92.64313250317046
LOSO,ERT,T_C,18,4,7.211102550927978
LOSO,ERT,T_C,19,1,100.0
LOSO,ERT,T_C,20,3,23.240600925150954
LOSO,ERT,T_C,21,23,63.47074385956853
LOSO,ERT,T_C,22,12,21.217131442932306
LOSO,ERT,T_C,23,9,79.24084244321934
LOSO,ERT,T_C,24,8,34.429275333645926
LOSO,ERT,T_C,25,9,36.37497613592192
LOSO,ERT,T_C,26,3,52.04164998665332
LOSO,ERT,T_C,27,2,39.75550276376844
LOSO,ERT,T_C,28,3,17.86523626114882
LOSO,ERT,T_C,29,3,69.10137480542626
LOSO,ERT,T_C,30,1,55.0
LOSO,ERT,T_C,31,21,86.98802599591893
LOSO,ERT,T_C,32,7,73.79992257061366
LOSO,ERT,T_C,33,1,290.0
LOSO,ERT,T_C,34,2,22.638462845343543
LOSO,ERT,T_C,35,7,49.19977587782865
LOSO,ERT,T_C,36,2,5.419666139633373
LOSO,ERT,T_C,37,5,62.489999199871974
LOSO,ERT,T_C,38,3,54.59909761802224
LOSO,ERT,T_C,39,16,39.48199747986416
LOSO,ERT,T_C,40,1,165.0
LOSO,ERT,T_C,41,2,97.75414457231514
LOSO,ERT,T_C,42,1,40.0
LOSO,ERT,T_C,43,6,52.68934111057631
LOSO,ERT,T_C,44,17,32.535952964284256
LOSO,ERT,T_C,45,6,29.891470355270247
LOSO,ERT,T_C,46,10,18.096961070853858
LOSO,ERT,T_C,47,1,28.0
LOSO,ERT,T_C,48,1,39.0
LOSO,ERT,T_C,49,5,108.57924813241249
LOSO,ERT,T_C,50,5,52.858774106102764
LOSO,ERT,T_C,51,10,66.63407536688717
LOSO,ERT,T_C,52,1,70.0
LOSO,ERT,T_C,53,7,50.005713959220984
LOSO,ERT,T_C,54,2,36.9120576505835
LOSO,ERT,T_C,55,1,100.0
LOSO,ERT,T_C,56,3,106.78014796768171
LOSO,ERT,T_C,57,3,105.16851556747707
LOSO,ERT,T_C,58,6,40.135707294129006
LOSO,ERT,T_C,59,6,99.31012033020602
LOSO,ERT,T_C,60,19,24.215011332279474
LOSO,ERT,T_C,61,2,41.23105625617661
LOSO,ERT,T_C,62,17,99.53073719740462
LOSO,ERT,T_C,63,3,205.0042682482489
LOSO,ERT,T_C,64,16,73.96660751837804
LOSO,ERT,T_C,65,1,49.23076923076928
LOSO,ERT,T_C,66,3,98.76909098160888
LOSO,ERT,T_C,67,11,75.66372975210778
LOSO,ERT,T_C,68,14,39.841700655357464
LOSO,ERT,T_C,69,1,28.85714285714289
LOSO,ERT,T_C,70,10,29.536418198556166
LOSO,ERT,T_C,71,17,35.06718574878613
LOSO,ERT,T_C,72,5,149.17322145747207
LOSO,ERT,T_C,73,10,61.54997969130453
LOSO,ERT,T_C,74,1,248.44444444444434
LOSO,ERT,T_C,75,1,60.0
LOSO,ERT,T_C,76,12,21.99431744792277
LOSO,ERT,T_C,77,6,46.98403984333403
LOSO,ERT,T_C,78,1,10.0
LOSO,ERT,T_C,79,1,70.0
LOSO,ERT,T_C,80,3,60.404194114868105
LOSO,ERT,T_C,81,6,89.58236433584459
LOSO,ERT,T_C,82,2,82.84020762890445
LOSO,ERT,T_C,83,10,70.94670887363274
LOSO,ERT,T_C,84,1,28.0
LOSO,ERT,T_C,85,5,71.62401831787993
LOSO,ERT,T_C,86,2,57.363969527918826
LOSO,ERT,T_C,87,2,290.31299111906793
LOSO,ERT,T_C,88,6,114.97028601628625
LOSO,ERT,T_C,89,8,35.22250700901343
LOSO,ERT,T_C,90,8,239.56216573156956
LOSO,ERT,T_C,91,5,125.08499332675984
LOSO,ERT,T_C,92,4,18.91428031937774
LOSO,ERT,P_kbar,0,4,28.783974783183425
LOSO,ERT,P_kbar,1,1,0.6890022102622302
LOSO,ERT,P_kbar,2,4,0.6304148914963712
LOSO,ERT,P_kbar,3,4,3.875060009594148
LOSO,ERT,P_kbar,4,34,9.770317914065037
LOSO,ERT,P_kbar,5,3,0.9055514005862914
LOSO,ERT,P_kbar,6,17,3.2718054819199462
LOSO,ERT,P_kbar,7,10,4.862668466105693
LOSO,ERT,P_kbar,8,23,11.048292168513271
LOSO,ERT,P_kbar,9,4,3.6883874413214204
LOSO,ERT,P_kbar,10,3,16.831518083642962
LOSO,ERT,P_kbar,11,4,9.122319056306084
LOSO,ERT,P_kbar,12,13,3.0459445105216503
LOSO,ERT,P_kbar,13,9,4.539606230841442
LOSO,ERT,P_kbar,14,6,3.2843623039177627
LOSO,ERT,P_kbar,15,1,8.36249999701975
LOSO,ERT,P_kbar,16,1,2.000000476837
LOSO,ERT,P_kbar,17,7,2.947881636531541
LOSO,ERT,P_kbar,18,4,3.178762204882139
LOSO,ERT,P_kbar,19,1,11.549999713898
LOSO,ERT,P_kbar,20,3,3.4353549243503747
LOSO,ERT,P_kbar,21,23,3.7450226042189727
LOSO,ERT,P_kbar,22,12,1.0103629710818451
LOSO,ERT,P_kbar,23,9,1.2009384575833137
LOSO,ERT,P_kbar,24,8,1.6503741855789276
LOSO,ERT,P_kbar,25,9,2.432173509135094
LOSO,ERT,P_kbar,26,3,5.7260545457405
LOSO,ERT,P_kbar,27,2,0.0
LOSO,ERT,P_kbar,28,3,8.619230570689869
LOSO,ERT,P_kbar,29,3,1.6583124271270875
LOSO,ERT,P_kbar,30,1,0.41666668653475014
LOSO,ERT,P_kbar,31,21,2.7078914907580303
LOSO,ERT,P_kbar,32,7,0.5178255000332836
LOSO,ERT,P_kbar,33,1,2.5999996115765285
LOSO,ERT,P_kbar,34,2,1.5934435952579866
LOSO,ERT,P_kbar,35,7,2.5787746994634118
LOSO,ERT,P_kbar,36,2,3.4693905015846185
LOSO,ERT,P_kbar,37,5,4.7633221338232286
LOSO,ERT,P_kbar,38,3,3.4643510401380637
LOSO,ERT,P_kbar,39,16,2.6699197895973272
LOSO,ERT,P_kbar,40,1,13.3499994874002
LOSO,ERT,P_kbar,41,2,3.9879865098814613
LOSO,ERT,P_kbar,42,1,1.8333333333333357
LOSO,ERT,P_kbar,43,6,1.4617023373686076
LOSO,ERT,P_kbar,44,17,1.746579912007332
LOSO,ERT,P_kbar,45,6,2.121921938648756
LOSO,ERT,P_kbar,46,10,0.5493385937295888
LOSO,ERT,P_kbar,47,1,11.990000476837
LOSO,ERT,P_kbar,48,1,4.166666666666666
LOSO,ERT,P_kbar,49,5,9.575885489941475
LOSO,ERT,P_kbar,50,5,0.2981422548347439
LOSO,ERT,P_kbar,51,10,6.328056109418574
LOSO,ERT,P_kbar,52,1,10.699000127181927
LOSO,ERT,P_kbar,53,7,1.6730993417180584
LOSO,ERT,P_kbar,54,2,0.9428091539736217
LOSO,ERT,P_kbar,55,1,3.499999761581499
LOSO,ERT,P_kbar,56,3,5.198033858512471
LOSO,ERT,P_kbar,57,3,6.3881038764566
LOSO,ERT,P_kbar,58,6,5.79647328601007
LOSO,ERT,P_kbar,59,6,6.39646614632166
LOSO,ERT,P_kbar,60,19,4.060952634198276
LOSO,ERT,P_kbar,61,2,1.8340348801241135
LOSO,ERT,P_kbar,62,17,6.31261247588396
LOSO,ERT,P_kbar,63,3,1.9619981038789054
LOSO,ERT,P_kbar,64,16,2.921244360617875
LOSO,ERT,P_kbar,65,1,4.630615386150675
LOSO,ERT,P_kbar,66,3,5.509042640552605
LOSO,ERT,P_kbar,67,11,1.9444624597865383
LOSO,ERT,P_kbar,68,14,2.255092492034085
LOSO,ERT,P_kbar,69,1,21.59276418061275
LOSO,ERT,P_kbar,70,10,0.45809479711083273
LOSO,ERT,P_kbar,71,17,5.081274925429227
LOSO,ERT,P_kbar,72,5,11.451649467075724
LOSO,ERT,P_kbar,73,10,4.056544985475566
LOSO,ERT,P_kbar,74,1,3.644139661278281
LOSO,ERT,P_kbar,75,1,9.999500000000001
LOSO,ERT,P_kbar,76,12,2.336637251238024
LOSO,ERT,P_kbar,77,6,1.9819437686454784
LOSO,ERT,P_kbar,78,1,8.612749967724099
LOSO,ERT,P_kbar,79,1,2.000000476837
LOSO,ERT,P_kbar,80,3,2.857738203581446
LOSO,ERT,P_kbar,81,6,4.254268000542984
LOSO,ERT,P_kbar,82,2,7.67307282159054
LOSO,ERT,P_kbar,83,10,2.5447447923390114
LOSO,ERT,P_kbar,84,1,1.4183749947583317
LOSO,ERT,P_kbar,85,5,1.788854801726033
LOSO,ERT,P_kbar,86,2,5.375161833384723
LOSO,ERT,P_kbar,87,2,4.458615832005748
LOSO,ERT,P_kbar,88,6,19.91230777089736
LOSO,ERT,P_kbar,89,8,4.698782264012244
LOSO,ERT,P_kbar,90,8,2.5248762345905194
LOSO,ERT,P_kbar,91,5,11.590732750798061
LOSO,ERT,P_kbar,92,4,0.0
LOSO,XGB,T_C,0,4,214.22469926180474
LOSO,XGB,T_C,1,1,14.5115966796875
LOSO,XGB,T_C,2,4,161.76975471936296
LOSO,XGB,T_C,3,4,96.18401187339157
LOSO,XGB,T_C,4,34,18.675607550962564
LOSO,XGB,T_C,5,3,23.710870259214246
LOSO,XGB,T_C,6,17,81.29799130336407
LOSO,XGB,T_C,7,10,63.17699425313012
LOSO,XGB,T_C,8,23,66.07639255036757
LOSO,XGB,T_C,9,4,96.0102782498272
LOSO,XGB,T_C,10,3,155.92763869274944
LOSO,XGB,T_C,11,4,85.09222164904361
LOSO,XGB,T_C,12,13,86.90815824296261
LOSO,XGB,T_C,13,9,25.880217240849518
LOSO,XGB,T_C,14,6,34.208737774895816
LOSO,XGB,T_C,15,1,306.340576171875
LOSO,XGB,T_C,16,1,2.861572265625
LOSO,XGB,T_C,17,7,77.83686834639589
LOSO,XGB,T_C,18,4,30.90549970365545
LOSO,XGB,T_C,19,1,31.4693603515625
LOSO,XGB,T_C,20,3,32.168044888143825
LOSO,XGB,T_C,21,23,73.50487434791093
LOSO,XGB,T_C,22,12,24.322862011230676
LOSO,XGB,T_C,23,9,82.33386878895324
LOSO,XGB,T_C,24,8,35.46135442635322
LOSO,XGB,T_C,25,9,33.267767257196105
LOSO,XGB,T_C,26,3,50.693345832957625
LOSO,XGB,T_C,27,2,64.23081334223532
LOSO,XGB,T_C,28,3,41.76810191606988
LOSO,XGB,T_C,29,3,60.109034439466114
LOSO,XGB,T_C,30,1,54.4024658203125
LOSO,XGB,T_C,31,21,70.35170755709034
LOSO,XGB,T_C,32,7,202.29606276979285
LOSO,XGB,T_C,33,1,315.6453857421875
LOSO,XGB,T_C,34,2,112.52868912190165
LOSO,XGB,T_C,35,7,58.286041582349526
LOSO,XGB,T_C,36,2,23.112939367881342
LOSO,XGB,T_C,37,5,64.08827033923389
LOSO,XGB,T_C,38,3,71.11654565469331
LOSO,XGB,T_C,39,16,41.379435374576104
LOSO,XGB,T_C,40,1,199.41845703125
LOSO,XGB,T_C,41,2,124.31130401548211
LOSO,XGB,T_C,42,1,5.5537109375
LOSO,XGB,T_C,43,6,40.02729637601959
LOSO,XGB,T_C,44,17,29.966263927242377
LOSO,XGB,T_C,45,6,32.35101837187161
LOSO,XGB,T_C,46,10,42.79090596240309
LOSO,XGB,T_C,47,1,18.802978515625
LOSO,XGB,T_C,48,1,19.4423828125
LOSO,XGB,T_C,49,5,101.22123939483248
LOSO,XGB,T_C,50,5,57.75252710279269
LOSO,XGB,T_C,51,10,67.80931997376732
LOSO,XGB,T_C,52,1,35.0537109375
LOSO,XGB,T_C,53,7,45.83171002118939
LOSO,XGB,T_C,54,2,24.16359767118321
LOSO,XGB,T_C,55,1,106.270263671875
LOSO,XGB,T_C,56,3,69.80898198344121
LOSO,XGB,T_C,57,3,106.11091933865379
LOSO,XGB,T_C,58,6,42.24518084334796
LOSO,XGB,T_C,59,6,104.80913424964163
LOSO,XGB,T_C,60,19,21.26152975519477
LOSO,XGB,T_C,61,2,30.451700494330158
LOSO,XGB,T_C,62,17,112.78415266241353
LOSO,XGB,T_C,63,3,187.8223497181408
LOSO,XGB,T_C,64,16,154.80804489032795
LOSO,XGB,T_C,65,1,64.20098407451928
LOSO,XGB,T_C,66,3,117.75586393157569
LOSO,XGB,T_C,67,11,69.8635651458212
LOSO,XGB,T_C,68,14,49.54769356042795
